Country,Year,Miles_Equator,Political Stability,School Enrollment Female,Life Expency,GDP_Per_Capita,More_than_once_a_week,Once_a_week,Once_a_month,Only_on_special_holy_days,Once_a_year,Less_often,Never_practically_never,Don't know,No answer,other missing,Religousity,Religousity2,Religousity_3,Religousity_4
Guatemala,2009,1089.059499,-0.925672591,46.3767395,70.75,7204.73,33.8,36.3,11.8,5.9,2.6,4.1,5.2,0,0.2,0,14.24285714,27.3,0.819,241.2
Hong Kong,2009,1545.353532,0.965701699,87.1703186,82.3756098,52234.59,5.5,2.1,2.2,8.5,7.4,26.2,45.5,0,2.5,0,13.91428571,3.266666667,0.098,585.5
Hungary,2009,3254.212086,0.536816299,95.7292786,73.702439,23275.23,1.6,7.2,5.8,18.1,6,22.8,37.7,0,0.9,0,14.17142857,4.866666667,0.146,544.6
India,2009,1420.964196,-1.355547905,57.5185699,65.794,4861.16,21.3,20.4,13.7,19.5,5.8,9.8,4,5.2,0.1,0,13.5,18.46666667,0.554,339.5
Indonesia,2009,-54.459975,-0.751153648,74.3773575,68.485,9713.9,29.7,34.8,8.4,12.6,1.2,10.2,1.5,0.2,0.8,0,14.05714286,24.3,0.729,261.4
Iran,2009,2237.525652,-1.564242005,79.7385025,73.027,17153.07,20.3,13.5,9.4,22.8,6.5,0,22.6,0,4.9,0,13.58571429,14.4,0.432,401.5
Italy,2009,2889.16386,0.346905887,101.007439,81.4853659,36486.3,7.3,23.8,22.4,24.7,4.1,4.9,11.6,0.4,0.8,0,14.11428571,17.83333333,0.535,362.4
Korea,2009,2477.635233,0.409627974,95.8035202,79.5170732,33557.13,16.9,13.2,9,11.6,5.9,24.5,19,0,0,0,14.3,13.03333333,0.391,426.2
Malaysia,2009,290.523396,-0.04166092,79.1458435,74.118,22985.8,67.4,11.1,1.1,11.2,0.3,7.1,1.3,0,0.5,0,14.21428571,26.53333333,0.796,195.4
Mali,2009,1212.377748,-0.075577624,28.9731598,54.193,1763.84,56.1,13,4.8,10.8,1.3,10.4,3.3,0,0.3,0,14.24285714,24.63333333,0.739,234.4
Mexico,2009,1630.780569,-0.686627805,89.39711,75.194,17162.93,11.9,34.2,17.9,10.6,5.2,8.4,11.3,0,0.4,0,14.21428571,21.33333333,0.64,335.5
Morocco,2009,2193.627438,-0.398299634,56.5264587,73.546,6702.42,84.5,5.5,1.5,6.8,0.1,0.6,0.2,0,0.8,0,14.17142857,30.5,0.915,139.9
Netherlands,2009,3597.151677,0.945019245,119.5504,80.2512195,47272.1,2.4,8.6,7,11.3,7.5,4.8,52.6,0.3,1.1,0,13.45714286,6,0.18,532.6
New Zealand,2009,-2822.138433,1.07115531,126.47641,80.3512195,32988.61,4.8,9.4,5.2,7.1,6.5,17,47.7,0,2.2,0,13.95714286,6.466666667,0.194,555.8
Norway,2009,4172.569656,1.276532531,109.978561,80.5926829,65354.78,0.8,3.7,6.2,14.9,15,17.6,41.1,0.2,0.5,0,14.18571429,3.566666667,0.107,560.8
Peru,2009,-634.107723,-1.180047989,92.0806503,73.826,10767.68,10.4,30.1,21.9,12.6,6.8,9.4,7.9,0,0.9,0,14.15714286,20.8,0.624,340.5
Poland,2009,3582.441222,0.938135386,96.0682907,75.5439024,23745.7,9.5,47.9,17.6,13.6,3.6,2,5.2,0.4,0.3,0,14.2,25,0.75,284.8
Romania,2009,3170.078109,0.359366298,95.1823578,72.5658537,18869.57,4.4,22.7,18.6,30.7,3,15.5,4.5,0.1,0.6,0,14.2,15.23333333,0.457,374.1
Russia,2009,4245.15669,-0.969926596,84.0787277,67.9492683,24303.47,1.1,3.1,8.1,22.2,13.5,14.4,32.5,3.4,1.2,0,13.55714286,4.1,0.123,539.8
Rwanda,2009,-133.879182,-0.506896436,25.3132,60.612,1488.74,82.1,12.2,1.3,0.8,1.8,1.6,0.2,0,0,0,14.28571429,31.86666667,0.956,133.6
Serbia,2009,3037.139949,-0.47735855,92.6842422,73.8853659,13933.84,4.3,6.4,15.6,38.8,13.4,7,10.5,3,1.2,0,13.71428571,8.766666667,0.263,436.4
Slovenia,2009,3184.435629,0.936905801,98.7453232,78.7658537,29042.82,1.5,16.6,9.7,26.8,7.3,5.7,29.7,0.5,2.1,0,13.9,9.266666667,0.278,472.5
South Africa,2009,-2108.604258,-0.11449261,95.1234207,55.36,13215.71,16.6,37.8,14.9,5.9,1.1,10.1,13.6,0,0,0,14.28571429,23.1,0.693,321.8
Spain,2009,2791.993023,-0.47459957,117.911072,81.1756098,31720.12,1.7,13.9,6.6,14.7,4,11,46.5,0.2,0.4,0,14.05714286,7.4,0.222,524.8
Sweden,2009,4148.843109,1.084638238,99.0862579,81.1,45432.43,0.8,2.4,4.7,9.5,16.6,15.4,50.5,0,0.1,0,14.27142857,2.633333333,0.079,587.5
Switzerland,2009,3230.454972,1.307721257,93.5534363,81.9926829,59933.6,2.5,9.5,12.3,21.6,9.5,11.9,31.7,0.1,0.8,0,14.14285714,8.1,0.243,493.6
Thailand,2009,1095.032208,-1.42447114,83.911911,73.341,14870.98,22.7,19.7,45.1,2,0.8,9.6,0.1,0,0.1,0,14.28571429,29.16666667,0.875,268.6
Ukraine,2009,3338.180877,-0.302319407,94.3087692,68.2514634,9705.36,2.6,6.5,11.7,32.9,10.1,11.2,21.5,2,1.6,0,13.78571429,6.933333333,0.208,480.9
Egypt,2009,1850.618157,-0.607227087,66.8448563,69.971,11092.74,31,24.6,3.8,11,0.6,9.4,19.5,0,0.1,0,14.27142857,19.8,0.594,332.4
United Kingdom,2009,3821.085519,0.121949501,100.743057,79.6,38514.03,7.2,9.9,6.2,10.6,9.1,10,46.3,0.1,0.4,0,14.18571429,7.766666667,0.233,522
Burkina Faso,2009,844.444977,0.034040287,17.2848892,55.618,1619.4,54.7,18.3,3.8,7.5,1.4,9.5,4.7,0,0,0,14.27142857,25.6,0.768,229.6
Uruguay,2009,-2244.071751,0.789260983,95.9215164,76.437,18192.33,4.3,7.7,7.1,3.8,4.3,5.4,67.3,0,0.1,0,14.27142857,6.366666667,0.191,582.1
Algeria,2010,1934.338134,-1.259367585,98.6929626,74.938,13056.8,30.7,19.7,3.2,9.3,0.9,5.8,30.5,0,0,0,14.3,17.86666667,0.536,369.7
Argentina,2010,-2650.710693,-0.084797867,104.15448,75.278,20131.68,7.6,12.4,15.9,12,7.3,15.6,29.1,0,0,0,14.27142857,11.96666667,0.359,461.9
Armenia,2010,2764.767831,0.071855329,103.744003,73.331,9835.8,1.7,9.6,22.2,27.4,10.9,5.2,22.4,0.1,0.4,0,14.2,11.16666667,0.335,444
Belarus,2010,3705.976683,-0.094990097,106.412262,70.404878,18994.19,1.7,6.8,13,40.8,8.5,8.4,20.2,0.5,0,0,14.2,7.166666667,0.215,455.8
Chile,2010,-2461.585143,0.67960453,91.3996735,78.779,22346.99,6.4,17.1,13.1,10.8,6.7,13.9,28.8,0.9,2.3,0,13.82857143,12.2,0.366,469.5
China,2010,2474.45454,-0.657060683,88.0126801,74.409,11872.5,0.4,1.5,1,5,1.7,4.7,83.2,0.2,2.3,0,13.92857143,0.966666667,0.029,667.8
Colombia,2010,315.389892,-1.537184834,102.269379,75.424,12727.76,15.2,33.1,15.6,2.4,6.3,14.3,12.7,0.1,0.3,0,14.22857143,21.3,0.639,347.5
Cyprus,2010,2423.722497,0.452444822,91.9940033,79.43,30375.09,4.4,15.7,15.1,40.1,3.3,3.7,17.7,0,0,0,14.28571429,11.73333333,0.352,404.1
Ecuador,2010,-126.355491,-0.586674452,94.4694672,75.089,11153.69,11.5,37.4,20.3,9.4,3.1,9.5,8.7,0,0.1,0,14.27142857,23.06666667,0.692,319.1
Estonia,2010,4043.073768,0.661366999,105.332642,75.4292683,27464.52,1.1,2.8,3.6,18.1,16,13.3,44.2,0.6,0.3,0,14.15714286,2.5,0.075,566.6
Germany,2010,3530.432679,0.796834469,101.152847,79.9878049,44993.89,1.7,8.2,9.4,21.3,7.1,17,34,0,1.2,0.1,14.1,6.433333333,0.193,518.8
Hong Kong,2010,1545.353532,0.935810566,88.1830978,82.9780488,53691.84,4.3,6.9,4.8,8.3,3.4,24.6,47.6,0,0.1,0,14.27142857,5.333333333,0.16,564.4
India,2010,1420.964196,-1.2779845,61.1048012,66.693,5057.23,20.3,25.2,13.7,18.6,5.6,7.1,5.5,4,0,0,13.71428571,19.73333333,0.592,327.3
Kazakhstan,2010,3313.350537,0.522971809,98.7503433,68.45,24504.77,2,7,10.6,26.4,9,8,37,0,0,0,14.28571429,6.533333333,0.196,505.4
Jordan,2010,2110.376316,-0.31249252,81.6359787,73.428,9322.3,34.1,19.7,3.4,17.8,4.8,4.7,15.5,0,0,0,14.28571429,19.06666667,0.572,315.6
Korea,2010,2477.635233,0.325895816,96.0889206,80.1170732,34244.31,18.1,11.8,5.8,12.4,5.3,21.5,24,0,1.1,0,14.12857143,11.9,0.357,442.1
Malaysia,2010,290.523396,0.143352136,80.1992035,74.493,23477.99,30.8,21.5,12,11.6,1.8,19.9,2.2,0,0.1,0,14.25714286,21.43333333,0.643,300.9
Mexico,2010,1630.780569,-0.726463437,90.3881378,75.065,17373.9,13,33.2,16,11.6,5.1,7.6,13.2,0.1,0.2,0,14.24285714,20.73333333,0.622,339.9
Netherlands,2010,3597.151677,0.940750122,121.217552,80.702439,49241.52,2.9,7.7,5.8,9.5,6.7,11.9,52.9,1.9,0.6,0,13.91428571,5.466666667,0.164,569.5
New Zealand,2010,-2822.138433,1.236488819,121.821358,80.702439,36242.62,5.4,8.9,4.5,7.8,8.3,15,47.7,0,2.4,0,13.94285714,6.266666667,0.188,554.9
Nigeria,2010,626.657931,-2.211123228,41.1909904,50.896,5225.17,68.3,18.8,3.5,2.3,2.7,4.3,0.1,0,0,0,14.28571429,30.2,0.906,165.6
Pakistan,2010,2095.897149,-2.675933123,28.8116493,65.264,4618.69,9.3,19.6,20.7,23.5,9.4,10,7,0,0.4,0,14.21428571,16.53333333,0.496,364.2
Peru,2010,-634.107723,-0.999915421,93.5096283,74.41,11295.96,9.3,30.4,19.3,1.9,3.4,17.8,14.7,0.6,2.7,0,13.82857143,19.66666667,0.59,391.4
Poland,2010,3582.441222,1.01733005,95.6627502,76.2463415,24567.51,4.4,46,16.8,15.2,4,4.2,7.3,1.4,0.7,0,13.98571429,22.4,0.672,321.4
Romania,2010,3170.078109,0.273600399,97.2269669,73.4585366,19781.93,4.4,21.5,17.2,28.4,4.6,17.8,5.2,0.3,0.5,0,14.15714286,14.36666667,0.431,385.7
Rwanda,2010,-133.879182,-0.272093862,31.6176796,63.433,1543.35,32.4,38.2,7.6,2.9,2.4,12.2,4.2,0,0,0,14.27142857,26.06666667,0.782,257.8
Slovenia,2010,3184.435629,0.866508842,98.5895615,79.4219512,29973.7,1.3,13.1,7.6,29.2,6.4,8.9,31.4,1.5,0.7,0,13.98571429,7.333333333,0.22,490.6
South Africa,2010,-2108.604258,-0.029427003,96.5637131,57.669,13606.94,17.9,40.2,10.9,6.6,1.1,11.2,6.4,5.8,0,0,13.47142857,23,0.69,321.3
Spain,2010,2791.993023,-0.318043739,120.73542,81.6268293,32434,3,10.9,5.3,13.2,2.2,10.7,53.3,0.6,0.7,0,14.08571429,6.4,0.192,552.9
Sweden,2010,4148.843109,1.094170451,97.5972366,81.4512195,46312.39,1.3,2.9,4.9,7.1,14.4,13.1,55.8,0,0.4,0,14.21428571,3.033333333,0.091,595
Thailand,2010,1095.032208,-1.442788363,85.3351212,74.184,15407.67,15.2,15,10,36.4,0.9,17.6,2.3,0,2.6,0,13.91428571,13.4,0.402,370.4
Tunisia,2010,2338.197273,-0.063976362,94.4913788,75.041,10769.98,37.8,7.1,0.7,9.4,0.4,3.2,41.6,0,0,0,14.31428571,15.2,0.456,404.1
Ukraine,2010,3338.180877,0.013131719,94.3839493,70.2653659,11111.05,2.8,9.4,11.8,44.7,7.4,5.2,18.6,0,0,0,14.27142857,8,0.24,434.2
Egypt,2010,1850.618157,-0.898418307,67.9408798,70.349,11221.38,15,30.2,5.9,15.2,0.4,2.2,31.1,0,0,0,14.28571429,17.03333333,0.511,386.8
Uruguay,2010,-2244.071751,0.824986041,109.489777,76.75,19130.06,5.2,7.1,5.3,3,4.1,8.2,63,1,3.1,0,13.7,5.866666667,0.176,593.9
Uzbekistan,2010,2855.046879,-0.720438123,89.8993607,69.672,6302.65,1.1,3.7,4.8,32.5,3.1,15.4,39.1,0,0.3,0,14.24285714,3.2,0.096,537.2
Algeria,2011,1934.338134,-1.360560656,101.544518,75.199,13003.27,30.7,19.7,3.2,9.3,0.9,5.8,30.5,0,0,0,14.3,17.86666667,0.536,369.7
Argentina,2011,-2650.710693,0.158993661,106.615471,75.439,19683.77,7.6,12.4,15.9,12,7.3,15.6,29.1,0,0,0,14.27142857,11.96666667,0.359,461.9
Armenia,2011,2764.767831,-0.063868985,93.2961884,73.572,10036.89,1.7,9.6,22.2,27.4,10.9,5.2,22.4,0.1,0.4,0,14.2,11.16666667,0.335,444
Belarus,2011,3705.976683,-0.087769009,105.553452,70.5536585,19008.06,1.7,6.8,13,40.8,8.5,8.4,20.2,0.5,0,0,14.2,7.166666667,0.215,455.8
Chile,2011,-2461.585143,0.452553362,91.8556595,78.986,22687.25,6.4,17.1,13.1,10.8,6.7,13.9,28.8,0.9,2.3,0,13.82857143,12.2,0.366,469.5
Colombia,2011,315.389892,-1.284655571,103.552948,75.655,13307.42,15.2,33.1,15.6,2.4,6.3,14.3,12.7,0.1,0.3,0,14.22857143,21.3,0.639,347.5
Cyprus,2011,2423.722497,0.607984483,93.532547,79.621,30080.23,4.4,15.7,15.1,40.1,3.3,3.7,17.7,0,0,0,14.28571429,11.73333333,0.352,404.1
Ecuador,2011,-126.355491,-0.686557531,98.7572174,75.289,11713.18,11.5,37.4,20.3,9.4,3.1,9.5,8.7,0,0.1,0,14.27142857,23.06666667,0.692,319.1
Estonia,2011,4043.073768,0.611041307,106.638107,76.2292683,28945.47,1.1,2.8,3.6,18.1,16,13.3,44.2,0.6,0.3,0,14.15714286,2.5,0.075,566.6
Germany,2011,3530.432679,0.842218459,100.87674,80.4365854,47011.55,1.7,8.2,9.4,21.3,7.1,17,34,0,1.2,0.1,14.1,6.433333333,0.193,518.8
Hong Kong,2011,1545.353532,0.94859612,86.768219,83.4219512,54781.65,4.3,6.9,4.8,8.3,3.4,24.6,47.6,0,0.1,0,14.27142857,5.333333333,0.16,564.4
India,2011,1420.964196,-1.32679534,64.6692505,67.13,5233.88,20.3,25.2,13.7,18.6,5.6,7.1,5.5,4,0,0,13.71428571,19.73333333,0.592,327.3
Kazakhstan,2011,3313.350537,-0.338570565,100.256287,68.69,24726.47,2,7,10.6,26.4,9,8,37,0,0,0,14.28571429,6.533333333,0.196,505.4
Jordan,2011,2110.376316,-0.513562262,79.0463181,73.581,9181.05,34.1,19.7,3.4,17.8,4.8,4.7,15.5,0,0,0,14.28571429,19.06666667,0.572,315.6
Korea,2011,2477.635233,0.412495643,96.4944305,80.5682927,35324.5,18.1,11.8,5.8,12.4,5.3,21.5,24,0,1.1,0,14.12857143,11.9,0.357,442.1
Malaysia,2011,290.523396,0.077409767,80.6839371,74.683,24607.67,30.8,21.5,12,11.6,1.8,19.9,2.2,0,0.1,0,14.25714286,21.43333333,0.643,300.9
Mexico,2011,1630.780569,-0.667768598,91.3068771,75.011,18056.79,13,33.2,16,11.6,5.1,7.6,13.2,0.1,0.2,0,14.24285714,20.73333333,0.622,339.9
Netherlands,2011,3597.151677,1.113630772,127.385674,81.204878,49233.22,2.9,7.7,5.8,9.5,6.7,11.9,52.9,1.9,0.6,0,13.91428571,5.466666667,0.164,569.5
New Zealand,2011,-2822.138433,1.376731038,121.851448,80.904878,37293.36,5.4,8.9,4.5,7.8,8.3,15,47.7,0,2.4,0,13.94285714,6.266666667,0.188,554.9
Nigeria,2011,626.657931,-1.956454515,41.887989,51.346,5507.17,68.3,18.8,3.5,2.3,2.7,4.3,0.1,0,0,0,14.28571429,30.2,0.906,165.6
Pakistan,2011,2095.897149,-2.810035467,28.8733501,65.562,4770.64,9.3,19.6,20.7,23.5,9.4,10,7,0,0.4,0,14.21428571,16.53333333,0.496,364.2
Peru,2011,-634.107723,-0.760749698,94.1889572,74.697,11510.28,9.3,30.4,19.3,1.9,3.4,17.8,14.7,0.6,2.7,0,13.82857143,19.66666667,0.59,391.4
Poland,2011,3582.441222,1.072062969,95.5844498,76.695122,25475.5,4.4,46,16.8,15.2,4,4.2,7.3,1.4,0.7,0,13.98571429,22.4,0.672,321.4
Romania,2011,3170.078109,0.186090663,97.6118393,74.4097561,20657.67,4.4,21.5,17.2,28.4,4.6,17.8,5.2,0.3,0.5,0,14.15714286,14.36666667,0.431,385.7
Rwanda,2011,-133.879182,-0.17711778,36.2770882,64.523,1706.75,32.4,38.2,7.6,2.9,2.4,12.2,4.2,0,0,0,14.27142857,26.06666667,0.782,257.8
Slovenia,2011,3184.435629,0.969209671,98.4224625,79.9707317,30870.02,1.3,13.1,7.6,29.2,6.4,8.9,31.4,1.5,0.7,0,13.98571429,7.333333333,0.22,490.6
South Africa,2011,-2108.604258,0.02403157,98.8816223,58.895,13602.1,17.9,40.2,10.9,6.6,1.1,11.2,6.4,5.8,0,0,13.47142857,23,0.69,321.3
Spain,2011,2791.993023,0.021104537,121.802269,82.4756098,33525.74,3,10.9,5.3,13.2,2.2,10.7,53.3,0.6,0.7,0,14.08571429,6.4,0.192,552.9
Sweden,2011,4148.843109,1.230688095,96.4696503,81.802439,47184.67,1.3,2.9,4.9,7.1,14.4,13.1,55.8,0,0.4,0,14.21428571,3.033333333,0.091,595
Thailand,2011,1095.032208,-1.133533716,88.1180725,74.593,15480.21,15.2,15,10,36.4,0.9,17.6,2.3,0,2.6,0,13.91428571,13.4,0.402,370.4
Tunisia,2011,2338.197273,-0.353741795,95.2787476,75.206,11024.75,37.8,7.1,0.7,9.4,0.4,3.2,41.6,0,0,0,14.31428571,15.2,0.456,404.1
Ukraine,2011,3338.180877,-0.070431463,92.0881882,70.8092683,10743.59,2.8,9.4,11.8,44.7,7.4,5.2,18.6,0,0,0,14.27142857,8,0.24,434.2
Egypt,2011,1850.618157,-1.437057018,77.1570892,70.543,10895.94,15,30.2,5.9,15.2,0.4,2.2,31.1,0,0,0,14.28571429,17.03333333,0.511,386.8
Uzbekistan,2011,2855.046879,-0.599719346,89.8812714,69.91,6494.86,1.1,3.7,4.8,32.5,3.1,15.4,39.1,0,0.3,0,14.24285714,3.2,0.096,537.2
Argentina,2012,-2650.710693,0.103040546,107.977142,75.598,20105.2,7.6,12.4,15.9,12,7.3,15.6,29.1,0,0,0,14.27142857,11.96666667,0.359,461.9
Belarus,2012,3705.976683,0.06861522,105.230331,71.9658537,18095.67,1.7,6.8,13,40.8,8.5,8.4,20.2,0.5,0,0,14.2,7.166666667,0.215,455.8
Chile,2012,-2461.585143,0.331102103,91.0845871,79.176,22566.18,6.4,17.1,13.1,10.8,6.7,13.9,28.8,0.9,2.3,0,13.82857143,12.2,0.366,469.5
Colombia,2012,315.389892,-1.401810408,99.6059875,75.882,13265.8,15.2,33.1,15.6,2.4,6.3,14.3,12.7,0.1,0.3,0,14.22857143,21.3,0.639,347.5
Cyprus,2012,2423.722497,0.635126054,96.1862869,79.812,31815.27,4.4,15.7,15.1,40.1,3.3,3.7,17.7,0,0,0,14.28571429,11.73333333,0.352,404.1
Ecuador,2012,-126.355491,-0.57030648,102.113571,75.495,11060.29,11.5,37.4,20.3,9.4,3.1,9.5,8.7,0,0.1,0,14.27142857,23.06666667,0.692,319.1
Estonia,2012,4043.073768,0.636465192,107.134857,76.3268293,29175.93,1.1,2.8,3.6,18.1,16,13.3,44.2,0.6,0.3,0,14.15714286,2.5,0.075,566.6
Germany,2012,3530.432679,0.775621295,99.3399811,80.5390244,47609.78,1.7,8.2,9.4,21.3,7.1,17,34,0,1.2,0.1,14.1,6.433333333,0.193,518.8
Hong Kong,2012,1545.353532,1.006289482,107.412308,83.4804878,56408.94,4.3,6.9,4.8,8.3,3.4,24.6,47.6,0,0.1,0,14.27142857,5.333333333,0.16,564.4
India,2012,1420.964196,-1.289309859,67.6368637,67.545,5464.86,20.3,25.2,13.7,18.6,5.6,7.1,5.5,4,0,0,13.71428571,19.73333333,0.592,327.3
Kazakhstan,2012,3313.350537,-0.408455014,102.70826,69.52,23224.12,2,7,10.6,26.4,9,8,37,0,0,0,14.28571429,6.533333333,0.196,505.4
Jordan,2012,2110.376316,-0.523977637,75.2171173,73.722,9464.68,34.1,19.7,3.4,17.8,4.8,4.7,15.5,0,0,0,14.28571429,19.06666667,0.572,315.6
Korea,2012,2477.635233,0.267103314,97.4740829,80.8195122,37902.4,18.1,11.8,5.8,12.4,5.3,21.5,24,0,1.1,0,14.12857143,11.9,0.357,442.1
Malaysia,2012,290.523396,-0.005212402,83.4506912,74.877,24801.89,30.8,21.5,12,11.6,1.8,19.9,2.2,0,0.1,0,14.25714286,21.43333333,0.643,300.9
Mexico,2012,1630.780569,-0.662454188,93.6471634,74.966,18301.5,13,33.2,16,11.6,5.1,7.6,13.2,0.1,0.2,0,14.24285714,20.73333333,0.622,339.9
Netherlands,2012,3597.151677,1.187464714,127.854347,81.104878,50288.59,2.9,7.7,5.8,9.5,6.7,11.9,52.9,1.9,0.6,0,13.91428571,5.466666667,0.164,569.5
New Zealand,2012,-2822.138433,1.361365557,120.652206,81.1560976,37479.68,5.4,8.9,4.5,7.8,8.3,15,47.7,0,2.4,0,13.94285714,6.266666667,0.188,554.9
Nigeria,2012,626.657931,-2.042073727,44.9511108,51.786,5426.33,68.3,18.8,3.5,2.3,2.7,4.3,0.1,0,0,0,14.28571429,30.2,0.906,165.6
Pakistan,2012,2095.897149,-2.677003622,29.4289207,65.849,4921.89,9.3,19.6,20.7,23.5,9.4,10,7,0,0.4,0,14.21428571,16.53333333,0.496,364.2
Peru,2012,-634.107723,-0.907364726,91.9220276,74.981,11572.32,9.3,30.4,19.3,1.9,3.4,17.8,14.7,0.6,2.7,0,13.82857143,19.66666667,0.59,391.4
Poland,2012,3582.441222,1.04947865,95.7179031,76.7463415,26862.05,4.4,46,16.8,15.2,4,4.2,7.3,1.4,0.7,0,13.98571429,22.4,0.672,321.4
Romania,2012,3170.078109,0.082341559,97.0135193,74.4121951,21605.84,4.4,21.5,17.2,28.4,4.6,17.8,5.2,0.3,0.5,0,14.15714286,14.36666667,0.431,385.7
Rwanda,2012,-133.879182,-0.230615199,39.6838188,65.438,1804.63,32.4,38.2,7.6,2.9,2.4,12.2,4.2,0,0,0,14.27142857,26.06666667,0.782,257.8
Slovenia,2012,3184.435629,0.935110688,98.2588882,80.1243902,31628.25,1.3,13.1,7.6,29.2,6.4,8.9,31.4,1.5,0.7,0,13.98571429,7.333333333,0.22,490.6
South Africa,2012,-2108.604258,-0.0253867,101.680328,60.06,13701.95,17.9,40.2,10.9,6.6,1.1,11.2,6.4,5.8,0,0,13.47142857,23,0.69,321.3
Spain,2012,2791.993023,-0.029516449,123.335991,82.4268293,34903.13,3,10.9,5.3,13.2,2.2,10.7,53.3,0.6,0.7,0,14.08571429,6.4,0.192,552.9
Sweden,2012,4148.843109,1.170597196,97.4756317,81.704878,49103.13,1.3,2.9,4.9,7.1,14.4,13.1,55.8,0,0.4,0,14.21428571,3.033333333,0.091,595
Thailand,2012,1095.032208,-1.216630697,86.756012,74.992,15822.37,15.2,15,10,36.4,0.9,17.6,2.3,0,2.6,0,13.91428571,13.4,0.402,370.4
Ukraine,2012,3338.180877,-0.092274904,95.3786087,70.9441463,10164.33,2.8,9.4,11.8,44.7,7.4,5.2,18.6,0,0,0,14.27142857,8,0.24,434.2
Egypt,2012,1850.618157,-1.436329722,78.0643234,70.736,11512.4,15,30.2,5.9,15.2,0.4,2.2,31.1,0,0,0,14.28571429,17.03333333,0.511,386.8
Uzbekistan,2012,2855.046879,-0.518739343,91.7640076,70.155,6680.18,1.1,3.7,4.8,32.5,3.1,15.4,39.1,0,0.3,0,14.24285714,3.2,0.096,537.2
Argentina,2013,-2650.710693,0.065314263,107.977142,75.756,20307.87,7.6,12.4,15.9,12,7.3,15.6,29.1,0,0,0,14.27142857,11.96666667,0.359,461.9
Belarus,2013,3705.976683,0.005959166,105.230331,72.4707317,17785.94,1.7,6.8,13,40.8,8.5,8.4,20.2,0.5,0,0,14.2,7.166666667,0.215,455.8
Chile,2013,-2461.585143,0.36374253,91.0845871,79.349,23330.77,6.4,17.1,13.1,10.8,6.7,13.9,28.8,0.9,2.3,0,13.82857143,12.2,0.366,469.5
Colombia,2013,315.389892,-1.291971803,99.6059875,76.105,13812.1,15.2,33.1,15.6,2.4,6.3,14.3,12.7,0.1,0.3,0,14.22857143,21.3,0.639,347.5
Cyprus,2013,2423.722497,0.563347161,96.1862869,79.999,35719.15,4.4,15.7,15.1,40.1,3.3,3.7,17.7,0,0,0,14.28571429,11.73333333,0.352,404.1
Ecuador,2013,-126.355491,-0.178656712,102.113571,75.707,11034.27,11.5,37.4,20.3,9.4,3.1,9.5,8.7,0,0.1,0,14.27142857,23.06666667,0.692,319.1
Estonia,2013,4043.073768,0.748215437,107.134857,77.1414634,31312.75,1.1,2.8,3.6,18.1,16,13.3,44.2,0.6,0.3,0,14.15714286,2.5,0.075,566.6
Germany,2013,3530.432679,0.92798388,99.3399811,80.4902439,50579.68,1.7,8.2,9.4,21.3,7.1,17,34,0,1.2,0.1,14.1,6.433333333,0.193,518.8
Hong Kong,2013,1545.353532,0.922868311,107.412308,83.8317073,57225.09,4.3,6.9,4.8,8.3,3.4,24.6,47.6,0,0.1,0,14.27142857,5.333333333,0.16,564.4
India,2013,1420.964196,-1.229174137,67.6368637,67.931,5839.86,20.3,25.2,13.7,18.6,5.6,7.1,5.5,4,0,0,13.71428571,19.73333333,0.592,327.3
Kazakhstan,2013,3313.350537,-0.402473897,102.70826,70.62,23818.82,2,7,10.6,26.4,9,8,37,0,0,0,14.28571429,6.533333333,0.196,505.4
Jordan,2013,2110.376316,-0.606315255,75.2171173,73.851,9445.92,34.1,19.7,3.4,17.8,4.8,4.7,15.5,0,0,0,14.28571429,19.06666667,0.572,315.6
Korea,2013,2477.635233,0.278578639,97.4740829,81.2707317,39575.45,18.1,11.8,5.8,12.4,5.3,21.5,24,0,1.1,0,14.12857143,11.9,0.357,442.1
Malaysia,2013,290.523396,0.051791593,83.4506912,75.072,25546.13,30.8,21.5,12,11.6,1.8,19.9,2.2,0,0.1,0,14.25714286,21.43333333,0.643,300.9
Mexico,2013,1630.780569,-0.714223802,93.6471634,74.93,19323.67,13,33.2,16,11.6,5.1,7.6,13.2,0.1,0.2,0,14.24285714,20.73333333,0.622,339.9
Netherlands,2013,3597.151677,1.143815398,127.854347,81.304878,52288.42,2.9,7.7,5.8,9.5,6.7,11.9,52.9,1.9,0.6,0,13.91428571,5.466666667,0.164,569.5
New Zealand,2013,-2822.138433,1.453926563,120.652206,81.4073171,39933.57,5.4,8.9,4.5,7.8,8.3,15,47.7,0,2.4,0,13.94285714,6.266666667,0.188,554.9
Nigeria,2013,626.657931,-2.088478327,44.9511108,52.228,5234.68,68.3,18.8,3.5,2.3,2.7,4.3,0.1,0,0,0,14.28571429,30.2,0.906,165.6
Pakistan,2013,2095.897149,-2.603302002,29.4289207,66.117,4963.53,9.3,19.6,20.7,23.5,9.4,10,7,0,0.4,0,14.21428571,16.53333333,0.496,364.2
Peru,2013,-634.107723,-0.80573976,91.9220276,75.258,12013.38,9.3,30.4,19.3,1.9,3.4,17.8,14.7,0.6,2.7,0,13.82857143,19.66666667,0.59,391.4
Poland,2013,3582.441222,0.973354995,95.7179031,77,28322.11,4.4,46,16.8,15.2,4,4.2,7.3,1.4,0.7,0,13.98571429,22.4,0.672,321.4
