Year,Miles_Equator,Political Stability,School Enrollment Female,Life expency,GDP_Per_Capita,No_religion,Roman_Catholic,Protestant,Orthodox,Jew,Muslim,Hindu,Buddhist,Other Christian,Other,DK,NA,,,
Mexico,2003,1630.780569,-0.21408245,74.4729996,74.922,13812.9014,19.3,73.5,4.8,0,0.1,0,0.1,0.1,0,1.6,0,0.5,,
Morocco,2003,2193.627438,-0.312668711,36.0968513,69.769,5256.104004,0,0,0,0,0,100,0,0,0,0,0,0,,
Nigeria,2003,626.657931,-1.754415751,24.5261993,46.835,3694.764195,0.7,0,0,0,0.1,31.7,0,0,67,0.3,0,0.1,,
Peru,2003,-634.107723,-1.027399659,81.4958725,71.882,7269.979011,4.7,82.3,6.8,0,0.2,0,0,0.2,0,4.3,0,1.5,,
Philippines,2003,888.700749,-1.705884457,78.4151764,68.88,4662.660671,9.9,71.8,1.8,0,0,2.9,0,0,5.7,7.5,0,0.5,,
Serbia,2003,3037.139949,-0.507584155,90.5736694,72.2853659,10209.18352,5.9,6.1,0.3,79.1,0.2,4.3,0,0.1,0,2.4,1.6,0,,
South Africa,2003,-2108.604258,-0.131729558,85.8254166,54.31,11599.10318,13.4,11.2,63.5,0.2,0.2,2.8,1.8,0,0,3.3,0,3.5,,
Zimbabwe,2003,-1312.065222,-1.204704046,43.1062508,43.523,1687.154196,14.2,17,42.6,0.1,0,0.5,0,0,0,25.2,0,0.4,,
Spain,2003,2791.993023,-0.090546302,115.32386,79.5682927,30720.22221,15.7,80.8,0.6,0.1,0.1,0.1,0.1,0.2,0,1.1,0,1.2,,
Sweden,2003,4148.843109,1.362226844,165.334915,79.8463415,37730.16375,24.2,1.4,0,0,2.6,0.1,0.4,0.3,0,70.9,0,0,,
North Macedonia,2003,2870.995815,-0.851008296,80.2750015,73.0390244,8690.236926,14,0.3,0.4,59.4,0.1,25.3,0,0,0,0.2,0,0.4,,
Egypt,2003,1850.618157,-0.822401702,80.7866821,68.961,7614.842917,0,0,0,0,0,94.3,0,0,5.6,0,0,0,,
Algeria,2004,1934.338134,-0.91366601,74.2163086,72.101,11788.56019,0,0,0,0,0,100,0,0,0,0,0,0,,
Argentina,2004,-2650.710693,-0.041774943,98.3592911,74.107,14967.625,13,78.4,5.4,0.1,0.7,0,0,0.1,0,2.3,0,0.1,,
Bangladesh,2004,1634.264586,-1.863839388,54.7457809,66.886,1903.738526,0.1,0.1,0.1,0.1,0.1,91.9,7.1,0.5,0,0,0,0,,
Chile,2004,-2461.585143,0.842383623,89.7292175,77.146,15657.47765,33.7,53.8,9.5,0,0.2,0,0.1,0,0,2.2,0,0.5,,
India,2004,1420.964196,-1.013880491,40.2797508,63.699,3240.736555,6.6,2.9,0,0,0.2,10.8,72.2,1.4,0,4.3,0,1.4,,
Indonesia,2004,-54.459975,-1.51817596,56.8001213,66.631,6715.707869,0,6.5,0,0,0,92.9,0,0,0,0.5,0,0.1,,
Iran,2004,2237.525652,-0.782738864,75.0605011,71.265,15868.37823,1.1,0,0,0,0,97,0,0,0.9,0.7,0.3,0,,
Israel,2004,2142.177519,-1.247522712,106.488289,79.6487805,25700.93836,0,0,0,0,85.3,9.5,0,0,3.3,1.8,0,0.1,,
Jordan,2004,2110.376316,-0.132929385,86.5586929,72.256,8629.070083,0,0,0,0,0,95.2,0,0,4.7,0.1,0,0,,
Korea,2004,2477.635233,0.485128582,96.756752,77.2146341,26884.26733,36.7,13.8,23.7,1.8,0.1,0.2,0,20.8,0,2.7,0,0.3,,
Mexico,2004,1630.780569,-0.445820868,77.441803,75.118,13812.9014,19.3,73.5,4.8,0,0.1,0,0.1,0.1,0,1.6,0,0.5,,
Morocco,2004,2193.627438,-0.556680739,38.3787994,70.399,5256.104004,0,0,0,0,0,100,0,0,0,0,0,0,,
