Country,Year,Miles_Equator,Political_Stability,School_Enrollment_F,Life_Expency,GDP_Per_Capita,None at all,2,3,4,5,6,7,8,9,A great deal,Don't know,No answer,Base mean,Freedom_Mean,Std Dev.,,Freedom
Chile,2011,-2461.585143,0.452553362,91.8556595,78.779,20259.72939,14.5,13,20,17.4,13.8,11.5,5,2.7,0.7,0.8,0.7,0.1,992,7.18,1.99,0.787,0.791750503
Colombia,2011,315.389892,-1.284655571,103.552948,75.424,11604.10228,34.3,16,21,10.4,6.2,7.5,2.1,0.8,0.4,1.3,0.3,0,1507,8.16,1.96,0.879,0.881644935
Cyprus,2011,2423.722497,0.607984483,93.532547,79.43,33313.57813,20.8,14,22,16.7,8.4,11.7,1.9,2.3,1.3,0.8,0.5,0,995,7.54,2.02,0.819,0.823115578
Ecuador,2011,-126.355491,-0.686557531,98.7572174,75.089,9857.520523,17.9,25,24,12.1,11.1,5.2,1.2,1,1,1.3,0.2,0,1200,7.86,1.85,0.901,0.902805611
Estonia,2011,4043.073768,0.611041307,106.638107,75.4292683,24557.23615,7.2,6.1,16,18.8,16.2,17.8,7.7,5,1.7,1.9,1.2,0.1,1513,6.35,2.04,0.643,0.650151668
Germany,2011,3530.432679,0.842218459,100.87674,79.9878049,42541.53109,13.2,6.4,19,20.8,13.7,14.9,4.7,4.3,1.3,1.6,0.3,0,2040,6.8,2.09,0.731,0.733199599
Ghana,2011,548.310363,0.167112142,52.6362305,61.03,3379.484599,13.5,15,25,17.2,10.4,9.2,4.2,2.9,1.6,1,0,0,1552,7.29,2.01,0.811,0.811
Hong Kong,2011,1545.353532,0.94859612,86.768219,82.9780488,52277.46644,9.8,8.5,23,19.6,16.5,13.6,3.9,3.1,0.8,1.6,0,0.1,999,6.87,1.94,0.774,0.773226773
India,2011,1420.964196,-1.32679534,64.6692505,66.693,4493.669466,15.3,10,15,18.1,15,13.3,5.8,3,1.2,2.7,0,0.7,4049,6.88,2.21,0.734,0.728897716
Kazakhstan,2011,3313.350537,-0.338570565,100.256287,68.45,20779.44425,20.6,8.7,16,18.2,10.3,13.5,5.5,3.4,1.1,3.2,0,0,1500,7.03,2.34,0.738,0.738
Jordan,2011,2110.376316,-0.513562262,79.0463181,73.428,9402.616204,19,13,19,17.1,10.6,13.2,3.1,2.1,1.9,1.8,0,0,1200,7.27,2.17,0.787,0.787
Korea,2011,2477.635233,0.412495643,96.4944305,80.1170732,32546.75365,8,8,19,20.1,13.4,16.6,7.3,4.4,2.2,0.8,0,0.3,1196,6.57,2.01,0.685,0.682951147
Kuwait,2011,2022.50454,0.311102718,95.9849777,74.358,78178.22037,33.4,15,16,12.2,7.4,6.3,2.1,2.2,0.6,2.3,0.7,2,1268,7.96,2.2,0.84,0.829220138
Malaysia,2011,290.523396,0.077409767,80.6839371,74.493,21704.74427,16.7,8.9,27,20.2,16.4,7.1,1.6,0.8,0.2,0.8,0,0,1300,7.5,1.72,0.892,0.892
Mexico,2011,1630.780569,-0.667768598,91.3068771,75.065,16520.25922,42.6,16,19,8.7,3.2,5,0.7,1.1,0.9,2,0.4,0,1991,8.44,2.01,0.895,0.898594378
Morocco,2011,2193.627438,-0.392256796,61.5229416,74.382,6712.323242,13.5,3.2,9.3,9,9.3,28.5,5,5.1,2,2.8,6.8,5.4,1054,6.18,2.35,0.443,0.449290061
Netherlands,2011,3597.151677,1.113630772,127.385674,80.702439,46599.02103,2.1,5.3,25,32.1,17.1,7.4,2.7,1.6,0.4,0.5,5.2,0.3,1799,6.9,1.42,0.816,0.858044164
New Zealand,2011,-2822.138433,1.376731038,121.851448,80.702439,32701.3786,20.3,17,24,16.6,7.3,6.7,1.4,1.3,1,1.2,1.7,1.3,816,7.8,1.9,0.852,0.855421687
Nigeria,2011,626.657931,-1.956454515,41.887989,50.896,4922.702345,10,15,25,21.1,12.3,8.5,3.9,2,1.2,1.2,0,0,1759,7.22,1.88,0.834,0.834
Pakistan,2011,2095.897149,-2.810035467,28.8733501,65.264,4494.809312,19.7,13,18,18.6,12.2,8.7,4.1,2.3,0.5,2.6,0,0,1200,7.34,2.16,0.815,0.815
Peru,2011,-634.107723,-0.760749698,94.1889572,74.41,10476.79633,27,7.7,15,15.2,13.8,13.3,3,1.6,0.3,1.6,0.8,0.9,1190,7.45,2.15,0.787,0.786213786
Poland,2011,3582.441222,1.072062969,95.5844498,76.2463415,22827.69814,9.9,7.4,22,16.7,12.4,18.3,3.9,2.9,1.4,3.3,1.6,0,951,6.67,2.15,0.684,0.695121951
Romania,2011,3170.078109,0.186090663,97.6118393,73.4585366,17896.27586,35.6,12,16,10.5,8.6,8.6,2.7,1.6,0.9,2.5,1.1,0.2,1484,7.88,2.28,0.827,0.834510595
Russia,2011,4245.15669,-0.998262107,91.0532074,68.8412195,22798.67383,7.4,4.3,14,14.4,14.3,20.2,7.2,7.2,3.4,3.6,4.1,0.2,2388,5.95,2.25,0.544,0.566077003
Rwanda,2011,-133.879182,-0.17711778,36.2770882,63.433,1450.651467,2,11,24,27.4,20.1,8.4,5,1.3,0.5,1,0,0,1527,6.85,1.58,0.845,0.845
Slovenia,2011,3184.435629,0.969209671,98.4224625,79.4219512,28931.38332,25.3,18,23,12.7,7.6,8.8,1.6,2,0.6,0.9,0.2,0.3,1064,7.88,1.95,0.866,0.865134865
South Africa,2011,-2108.604258,0.02403157,98.8816223,57.669,13393.76689,14,11,22,18.4,13.4,11.1,3.8,1.7,1,2.6,1.3,0,3486,7.12,2.08,0.788,0.798378926
Spain,2011,2791.993023,0.021104537,121.802269,81.6268293,31867.97324,12.8,7.4,16,21.7,16.3,15.3,3.1,2.6,0.6,0.8,3.2,0.3,1146,6.95,1.91,0.742,0.764160659
Sweden,2011,4148.843109,1.230688095,96.4696503,81.4512195,44608.58026,20.4,11,25,19.3,9.5,9.3,2.6,1.7,0.4,0.3,0.6,0,1199,7.62,1.83,0.852,0.857142857
Thailand,2011,1095.032208,-1.133533716,88.1180725,74.184,13519.12902,22.3,14,21,13.6,10.5,11.7,1.7,2.1,0.4,2.3,0,0.4,1195,7.53,2.13,0.814,0.810756972
Tunisia,2011,2338.197273,-0.353741795,95.2787476,75.041,10576.05361,24.8,4.1,6.6,11.9,12.5,21.9,4,3.3,2.1,5.3,2.8,0.7,1163,6.64,2.63,0.599,0.611848825
Ukraine,2011,3338.180877,-0.070431463,92.0881882,70.2653659,9246.769531,13,8.7,17,13.3,13.9,16.3,6.9,5.1,2.7,2.8,0,0,1500,6.56,2.33,0.659,0.659
Egypt,2011,1850.618157,-1.437057018,77.1570892,70.349,9686.046264,8.8,6.4,24,17.2,11.2,11.3,6.4,6.9,2.5,5.6,0,0,1523,6.36,2.4,0.676,0.676
Uzbekistan,2011,2855.046879,-0.599719346,89.8812714,69.672,5844.807562,34.2,11,16,12,9.5,5.5,2.6,1.9,1.7,3.1,0,2.4,1464,7.8,2.36,0.827,0.807617188
Argentina,2012,-2650.710693,0.103040546,107.977142,75.439,19641.35286,11.8,10,26,23.1,14.3,7.4,3.4,0.8,0.4,0.5,0.5,1.6,1008,7.36,1.67,0.852,0.84272997
Brazil,2012,-982.215276,0.045961641,97.4616318,73.921,15046.29018,38.3,6.5,13,10.9,9,13.3,2.2,2.4,1.5,2.1,1.1,0.1,1468,7.69,2.41,0.777,0.784848485
Belarus,2012,3705.976683,0.06861522,105.230331,70.5536585,18105.28672,6.8,7.4,16,15.8,13.6,20.7,9,6,2.2,2.5,0.1,0,1534,6.19,2.14,0.596,0.596596597
Chile,2012,-2461.585143,0.331102103,91.0845871,78.986,21512.00442,14.5,13,20,17.4,13.8,11.5,5,2.7,0.7,0.8,0.7,0.1,992,7.18,1.99,0.787,0.791750503
Colombia,2012,315.389892,-1.401810408,99.6059875,75.655,12018.65128,34.3,16,21,10.4,6.2,7.5,2.1,0.8,0.4,1.3,0.3,0,1507,8.16,1.96,0.879,0.881644935
Cyprus,2012,2423.722497,0.635126054,96.1862869,79.621,31834.51758,20.8,14,22,16.7,8.4,11.7,1.9,2.3,1.3,0.8,0.5,0,995,7.54,2.02,0.819,0.823115578
Ecuador,2012,-126.355491,-0.57030648,102.113571,75.289,10311.4046,17.9,25,24,12.1,11.1,5.2,1.2,1,1,1.3,0.2,0,1200,7.86,1.85,0.901,0.902805611
Estonia,2012,4043.073768,0.636465192,107.134857,76.2292683,25996.04678,7.2,6.1,16,18.8,16.2,17.8,7.7,5,1.7,1.9,1.2,0.1,1513,6.35,2.04,0.643,0.650151668
Germany,2012,3530.432679,0.775621295,99.3399811,80.4365854,43359.61483,13.2,6.4,19,20.8,13.7,14.9,4.7,4.3,1.3,1.6,0.3,0,2040,6.8,2.09,0.731,0.733199599
Ghana,2012,548.310363,0.130694985,53.4442406,61.381,3781.865529,13.5,15,25,17.2,10.4,9.2,4.2,2.9,1.6,1,0,0,1552,7.29,2.01,0.811,0.811
Hong Kong,2012,1545.353532,1.006289482,107.412308,83.4219512,52234.59232,9.8,8.5,23,19.6,16.5,13.6,3.9,3.1,0.8,1.6,0,0.1,999,6.87,1.94,0.774,0.773226773
India,2012,1420.964196,-1.289309859,67.6368637,67.13,4861.156152,15.3,10,15,18.1,15,13.3,5.8,3,1.2,2.7,0,0.7,4049,6.88,2.21,0.734,0.728897716
Kazakhstan,2012,3313.350537,-0.408455014,102.70826,68.69,22032.17454,20.6,8.7,16,18.2,10.3,13.5,5.5,3.4,1.1,3.2,0,0,1500,7.03,2.34,0.738,0.738
Jordan,2012,2110.376316,-0.523977637,75.2171173,73.581,9189.189214,19,13,19,17.1,10.6,13.2,3.1,2.1,1.9,1.8,0,0,1200,7.27,2.17,0.787,0.787
Korea,2012,2477.635233,0.267103314,97.4740829,80.5682927,33557.12872,8,8,19,20.1,13.4,16.6,7.3,4.4,2.2,0.8,0,0.3,1196,6.57,2.01,0.685,0.682951147
Kuwait,2012,2022.50454,0.203606218,99.2964935,74.55,82680.40594,33.4,15,16,12.2,7.4,6.3,2.1,2.2,0.6,2.3,0.7,2,1268,7.96,2.2,0.84,0.829220138
Malaysia,2012,290.523396,-0.005212402,83.4506912,74.683,22985.80166,16.7,8.9,27,20.2,16.4,7.1,1.6,0.8,0.2,0.8,0,0,1300,7.5,1.72,0.892,0.892
Mexico,2012,1630.780569,-0.662454188,93.6471634,75.011,17162.92737,42.6,16,19,8.7,3.2,5,0.7,1.1,0.9,2,0.4,0,1991,8.44,2.01,0.895,0.898594378
Morocco,2012,2193.627438,-0.470458776,64.1466675,74.696,6702.418457,13.5,3.2,9.3,9,9.3,28.5,5,5.1,2,2.8,6.8,5.4,1054,6.18,2.35,0.443,0.449290061
Netherlands,2012,3597.151677,1.187464714,127.854347,81.204878,47272.10302,2.1,5.3,25,32.1,17.1,7.4,2.7,1.6,0.4,0.5,5.2,0.3,1799,6.9,1.42,0.816,0.858044164
New Zealand,2012,-2822.138433,1.361365557,120.652206,80.904878,32988.60976,20.3,17,24,16.6,7.3,6.7,1.4,1.3,1,1.2,1.7,1.3,816,7.8,1.9,0.852,0.855421687
Nigeria,2012,626.657931,-2.042073727,44.9511108,51.346,4982.945399,10,15,25,21.1,12.3,8.5,3.9,2,1.2,1.2,0,0,1759,7.22,1.88,0.834,0.834
Pakistan,2012,2095.897149,-2.677003622,29.4289207,65.562,4523.142308,19.7,13,18,18.6,12.2,8.7,4.1,2.3,0.5,2.6,0,0,1200,7.34,2.16,0.815,0.815
Peru,2012,-634.107723,-0.907364726,91.9220276,74.697,10767.67733,27,7.7,15,15.2,13.8,13.3,3,1.6,0.3,1.6,0.8,0.9,1190,7.45,2.15,0.787,0.786213786
Poland,2012,3582.441222,1.04947865,95.7179031,76.695122,23745.6978,9.9,7.4,22,16.7,12.4,18.3,3.9,2.9,1.4,3.3,1.6,0,951,6.67,2.15,0.684,0.695121951
Romania,2012,3170.078109,0.082341559,97.0135193,74.4097561,18869.56897,35.6,12,16,10.5,8.6,8.6,2.7,1.6,0.9,2.5,1.1,0.2,1484,7.88,2.28,0.827,0.834510595
Russia,2012,4245.15669,-0.817712665,94.7164688,69.6839024,24303.47266,7.4,4.3,14,14.4,14.3,20.2,7.2,7.2,3.4,3.6,4.1,0.2,2388,5.95,2.25,0.544,0.566077003
Rwanda,2012,-133.879182,-0.230615199,39.6838188,64.523,1488.74193,2,11,24,27.4,20.1,8.4,5,1.3,0.5,1,0,0,1527,6.85,1.58,0.845,0.845
Slovenia,2012,3184.435629,0.935110688,98.2588882,79.9707317,29042.82027,25.3,18,23,12.7,7.6,8.8,1.6,2,0.6,0.9,0.2,0.3,1064,7.88,1.95,0.866,0.865134865
South Africa,2012,-2108.604258,-0.0253867,101.680328,58.895,13215.70868,14,11,22,18.4,13.4,11.1,3.8,1.7,1,2.6,1.3,0,3486,7.12,2.08,0.788,0.798378926
Zimbabwe,2012,-1312.065222,-0.778662026,50.1543388,52.896,2375.927006,10.3,7.5,16,16.7,17.2,14.7,8,3.3,1,5,0,0,1499,6.43,2.27,0.677,0.677
Spain,2012,2791.993023,-0.029516449,123.335991,82.4756098,31720.12,12.8,7.4,16,21.7,16.3,15.3,3.1,2.6,0.6,0.8,3.2,0.3,1146,6.95,1.91,0.742,0.764160659
Sweden,2012,4148.843109,1.170597196,97.4756317,81.802439,45432.43197,20.4,11,25,19.3,9.5,9.3,2.6,1.7,0.4,0.3,0.6,0,1199,7.62,1.83,0.852,0.857142857
Thailand,2012,1095.032208,-1.216630697,86.756012,74.593,14870.97555,22.3,14,21,13.6,10.5,11.7,1.7,2.1,0.4,2.3,0,0.4,1195,7.53,2.13,0.814,0.810756972
Ukraine,2012,3338.180877,-0.092274904,95.3786087,70.8092683,9705.358398,13,8.7,17,13.3,13.9,16.3,6.9,5.1,2.7,2.8,0,0,1500,6.56,2.33,0.659,0.659
Egypt,2012,1850.618157,-1.436329722,78.0643234,70.543,11092.74326,8.8,6.4,24,17.2,11.2,11.3,6.4,6.9,2.5,5.6,0,0,1523,6.36,2.4,0.676,0.676
Uzbekistan,2012,2855.046879,-0.518739343,91.7640076,69.91,6061.947154,34.2,11,16,12,9.5,5.5,2.6,1.9,1.7,3.1,0,2.4,1464,7.8,2.36,0.827,0.807617188
Argentina,2013,-2650.710693,0.065314263,108.980232,75.598,20131.68042,11.8,10,26,23.1,14.3,7.4,3.4,0.8,0.4,0.5,0.5,1.6,1008,7.36,1.67,0.852,0.84272997
Armenia,2013,2764.767831,0.110385142,87.6699295,73.82,9835.802461,21.9,6,13,8.3,6.5,18.7,7.4,5.7,4.5,4.2,3.6,0,1060,6.52,2.73,0.557,0.57780083
Brazil,2013,-982.215276,-0.258553296,106.384941,74.209,15588.72613,38.3,6.5,13,10.9,9,13.3,2.2,2.4,1.5,2.1,1.1,0.1,1468,7.69,2.41,0.777,0.784848485
Belarus,2013,3705.976683,0.005959166,104.059799,71.9658537,18994.19019,6.8,7.4,16,15.8,13.6,20.7,9,6,2.2,2.5,0.1,0,1534,6.19,2.14,0.596,0.596596597
Chile,2013,-2461.585143,0.36374253,100.07972,79.176,22346.99046,14.5,13,20,17.4,13.8,11.5,5,2.7,0.7,0.8,0.7,0.1,992,7.18,1.99,0.787,0.791750503
Colombia,2013,315.389892,-1.291971803,100.044167,75.882,12727.76493,34.3,16,21,10.4,6.2,7.5,2.1,0.8,0.4,1.3,0.3,0,1507,8.16,1.96,0.879,0.881644935
Cyprus,2013,2423.722497,0.563347161,98.5265274,79.812,30375.0918,20.8,14,22,16.7,8.4,11.7,1.9,2.3,1.3,0.8,0.5,0,995,7.54,2.02,0.819,0.823115578
Ecuador,2013,-126.355491,-0.178656712,104.440742,75.495,11153.68521,17.9,25,24,12.1,11.1,5.2,1.2,1,1,1.3,0.2,0,1200,7.86,1.85,0.901,0.902805611
Estonia,2013,4043.073768,0.748215437,107.617371,76.3268293,27464.51868,7.2,6.1,16,18.8,16.2,17.8,7.7,5,1.7,1.9,1.2,0.1,1513,6.35,2.04,0.643,0.650151668
Georgia,2013,2919.763083,-0.441366166,98.7912598,72.097,10611.77412,11.9,4.8,14,14.6,11.5,24.6,5.8,6.2,2.7,2.8,1.2,0.1,1186,6.24,2.29,0.568,0.574317492
Germany,2013,3530.432679,0.92798388,98.3072205,80.5390244,44993.89275,13.2,6.4,19,20.8,13.7,14.9,4.7,4.3,1.3,1.6,0.3,0,2040,6.8,2.09,0.731,0.733199599
Ghana,2013,548.310363,0.060606085,64.603241,61.72,5294.820028,13.5,15,25,17.2,10.4,9.2,4.2,2.9,1.6,1,0,0,1552,7.29,2.01,0.811,0.811
Hong Kong,2013,1545.353532,0.922868311,100.771713,83.4804878,53691.83748,9.8,8.5,23,19.6,16.5,13.6,3.9,3.1,0.8,1.6,0,0.1,999,6.87,1.94,0.774,0.773226773
India,2013,1420.964196,-1.229174137,69.4817734,67.545,5057.233414,15.3,10,15,18.1,15,13.3,5.8,3,1.2,2.7,0,0.7,4049,6.88,2.21,0.734,0.728897716
Kazakhstan,2013,3313.350537,-0.402473897,103.877441,69.52,24504.76609,20.6,8.7,16,18.2,10.3,13.5,5.5,3.4,1.1,3.2,0,0,1500,7.03,2.34,0.738,0.738
Jordan,2013,2110.376316,-0.606315255,71.8535309,73.722,9322.302454,19,13,19,17.1,10.6,13.2,3.1,2.1,1.9,1.8,0,0,1200,7.27,2.17,0.787,0.787
Korea,2013,2477.635233,0.278578639,99.0962524,80.8195122,34244.31214,8,8,19,20.1,13.4,16.6,7.3,4.4,2.2,0.8,0,0.3,1196,6.57,2.01,0.685,0.682951147
Kuwait,2013,2022.50454,0.16605559,97.1050491,74.728,78058.38006,33.4,15,16,12.2,7.4,6.3,2.1,2.2,0.6,2.3,0.7,2,1268,7.96,2.2,0.84,0.829220138
Malaysia,2013,290.523396,0.051791593,84.4300232,74.877,23477.99117,16.7,8.9,27,20.2,16.4,7.1,1.6,0.8,0.2,0.8,0,0,1300,7.5,1.72,0.892,0.892
Mexico,2013,1630.780569,-0.714223802,95.947052,74.966,17373.89746,42.6,16,19,8.7,3.2,5,0.7,1.1,0.9,2,0.4,0,1991,8.44,2.01,0.895,0.898594378
New Zealand,2013,-2822.138433,1.453926563,119.194321,81.1560976,36242.62123,20.3,17,24,16.6,7.3,6.7,1.4,1.3,1,1.2,1.7,1.3,816,7.8,1.9,0.852,0.855421687
Nigeria,2013,626.657931,-2.088478327,53.5122108,51.786,5225.172934,10,15,25,21.1,12.3,8.5,3.9,2,1.2,1.2,0,0,1759,7.22,1.88,0.834,0.834
Pakistan,2013,2095.897149,-2.603302002,30.2607899,65.849,4618.694924,19.7,13,18,18.6,12.2,8.7,4.1,2.3,0.5,2.6,0,0,1200,7.34,2.16,0.815,0.815
Peru,2013,-634.107723,-0.80573976,97.6459503,74.981,11295.96326,27,7.7,15,15.2,13.8,13.3,3,1.6,0.3,1.6,0.8,0.9,1190,7.45,2.15,0.787,0.786213786
Poland,2013,3582.441222,0.973354995,105.353569,76.7463415,24567.50617,9.9,7.4,22,16.7,12.4,18.3,3.9,2.9,1.4,3.3,1.6,0,951,6.67,2.15,0.684,0.695121951
Romania,2013,3170.078109,0.179133072,96.0302277,74.4121951,19781.92571,35.6,12,16,10.5,8.6,8.6,2.7,1.6,0.9,2.5,1.1,0.2,1484,7.88,2.28,0.827,0.834510595
Russia,2013,4245.15669,-0.73609364,96.8499985,70.0721951,26073.875,7.4,4.3,14,14.4,14.3,20.2,7.2,7.2,3.4,3.6,4.1,0.2,2388,5.95,2.25,0.544,0.566077003
Rwanda,2013,-133.879182,-0.110951617,42.2042198,65.438,1543.347604,2,11,24,27.4,20.1,8.4,5,1.3,0.5,1,0,0,1527,6.85,1.58,0.845,0.845
Slovenia,2013,3184.435629,0.88225168,111.364799,80.1243902,29973.69935,25.3,18,23,12.7,7.6,8.8,1.6,2,0.6,0.9,0.2,0.3,1064,7.88,1.95,0.866,0.865134865
Zimbabwe,2013,-1312.065222,-0.665949762,51.3457413,55.032,2560.773267,10.3,7.5,16,16.7,17.2,14.7,8,3.3,1,5,0,0,1499,6.43,2.27,0.677,0.677
Spain,2013,2791.993023,0.012017759,123.358856,82.4268293,32434.0032,12.8,7.4,16,21.7,16.3,15.3,3.1,2.6,0.6,0.8,3.2,0.3,1146,6.95,1.91,0.742,0.764160659
Sweden,2013,4148.843109,1.127778053,136.870285,81.704878,46312.39238,20.4,11,25,19.3,9.5,9.3,2.6,1.7,0.4,0.3,0.6,0,1199,7.62,1.83,0.852,0.857142857
Thailand,2013,1095.032208,-1.311682701,85.7204514,74.992,15407.6654,22.3,14,21,13.6,10.5,11.7,1.7,2.1,0.4,2.3,0,0.4,1195,7.53,2.13,0.814,0.810756972
Ukraine,2013,3338.180877,-0.77728498,95.0410995,70.9441463,11111.05176,13,8.7,17,13.3,13.9,16.3,6.9,5.1,2.7,2.8,0,0,1500,6.56,2.33,0.659,0.659
Egypt,2013,1850.618157,-1.6388309,79.4584122,70.736,11221.38039,8.8,6.4,24,17.2,11.2,11.3,6.4,6.9,2.5,5.6,0,0,1523,6.36,2.4,0.676,0.676
United States,2013,2559.22656,0.643072605,96.3090591,78.7414634,53291.12769,18.4,18,25,15.6,8.5,9,2.2,1.1,0.6,0.5,0,1.5,2199,7.73,1.81,0.855,0.842364532
Uzbekistan,2013,2855.046879,-0.53607899,91.3545227,70.155,6302.647244,34.2,11,16,12,9.5,5.5,2.6,1.9,1.7,3.1,0,2.4,1464,7.8,2.36,0.827,0.807617188
Argentina,2014,-2650.710693,-0.005121871,108.980232,75.756,19683.77151,11.8,10,26,23.1,14.3,7.4,3.4,0.8,0.4,0.5,0.5,1.6,1008,7.36,1.67,0.852,0.84272997
Armenia,2014,2764.767831,-0.2971358,87.6699295,74.056,10036.88984,21.9,6,13,8.3,6.5,18.7,7.4,5.7,4.5,4.2,3.6,0,1060,6.52,2.73,0.557,0.57780083
Brazil,2014,-982.215276,-0.070290133,106.384941,74.483,15718.56495,38.3,6.5,13,10.9,9,13.3,2.2,2.4,1.5,2.1,1.1,0.1,1468,7.69,2.41,0.777,0.784848485
Belarus,2014,3705.976683,0.179782152,104.059799,72.4707317,19008.06102,6.8,7.4,16,15.8,13.6,20.7,9,6,2.2,2.5,0.1,0,1534,6.19,2.14,0.596,0.596596597
Chile,2014,-2461.585143,0.447516918,100.07972,79.349,22687.25157,14.5,13,20,17.4,13.8,11.5,5,2.7,0.7,0.8,0.7,0.1,992,7.18,1.99,0.787,0.791750503
Colombia,2014,315.389892,-1.114594102,100.044167,76.105,13307.4245,34.3,16,21,10.4,6.2,7.5,2.1,0.8,0.4,1.3,0.3,0,1507,8.16,1.96,0.879,0.881644935
Cyprus,2014,2423.722497,0.551882088,98.5265274,79.999,30080.23047,20.8,14,22,16.7,8.4,11.7,1.9,2.3,1.3,0.8,0.5,0,995,7.54,2.02,0.819,0.823115578
Ecuador,2014,-126.355491,-0.018533209,104.440742,75.707,11713.17591,17.9,25,24,12.1,11.1,5.2,1.2,1,1,1.3,0.2,0,1200,7.86,1.85,0.901,0.902805611
Estonia,2014,4043.073768,0.780257881,107.617371,77.1414634,28945.46533,7.2,6.1,16,18.8,16.2,17.8,7.7,5,1.7,1.9,1.2,0.1,1513,6.35,2.04,0.643,0.650151668
Georgia,2014,2919.763083,-0.321507543,98.7912598,72.412,11575.54721,11.9,4.8,14,14.6,11.5,24.6,5.8,6.2,2.7,2.8,1.2,0.1,1186,6.24,2.29,0.568,0.574317492
Germany,2014,3530.432679,0.925186455,98.3072205,80.4902439,47011.55109,13.2,6.4,19,20.8,13.7,14.9,4.7,4.3,1.3,1.6,0.3,0,2040,6.8,2.09,0.731,0.733199599
Ghana,2014,548.310363,-0.106807962,64.603241,62.064,5568.235957,13.5,15,25,17.2,10.4,9.2,4.2,2.9,1.6,1,0,0,1552,7.29,2.01,0.811,0.811
Hong Kong,2014,1545.353532,1.153228521,100.771713,83.8317073,54781.64716,9.8,8.5,23,19.6,16.5,13.6,3.9,3.1,0.8,1.6,0,0.1,999,6.87,1.94,0.774,0.773226773
India,2014,1420.964196,-0.99791199,69.4817734,67.931,5233.882343,15.3,10,15,18.1,15,13.3,5.8,3,1.2,2.7,0,0.7,4049,6.88,2.21,0.734,0.728897716
Kazakhstan,2014,3313.350537,0.036018156,103.877441,70.62,24726.47287,20.6,8.7,16,18.2,10.3,13.5,5.5,3.4,1.1,3.2,0,0,1500,7.03,2.34,0.738,0.738
Jordan,2014,2110.376316,-0.540025532,71.8535309,73.851,9181.046372,19,13,19,17.1,10.6,13.2,3.1,2.1,1.9,1.8,0,0,1200,7.27,2.17,0.787,0.787
Korea,2014,2477.635233,0.108568802,99.0962524,81.2707317,35324.49767,8,8,19,20.1,13.4,16.6,7.3,4.4,2.2,0.8,0,0.3,1196,6.57,2.01,0.685,0.682951147
Kuwait,2014,2022.50454,0.149006546,97.1050491,74.885,70082.46284,33.4,15,16,12.2,7.4,6.3,2.1,2.2,0.6,2.3,0.7,2,1268,7.96,2.2,0.84,0.829220138
Malaysia,2014,290.523396,0.266619146,84.4300232,75.072,24607.66873,16.7,8.9,27,20.2,16.4,7.1,1.6,0.8,0.2,0.8,0,0,1300,7.5,1.72,0.892,0.892
Mexico,2014,1630.780569,-0.853918791,95.947052,74.93,18056.78981,42.6,16,19,8.7,3.2,5,0.7,1.1,0.9,2,0.4,0,1991,8.44,2.01,0.895,0.898594378
New Zealand,2014,-2822.138433,1.467927575,119.194321,81.4073171,37293.35679,20.3,17,24,16.6,7.3,6.7,1.4,1.3,1,1.2,1.7,1.3,816,7.8,1.9,0.852,0.855421687
Nigeria,2014,626.657931,-2.130276442,53.5122108,52.228,5507.169495,10,15,25,21.1,12.3,8.5,3.9,2,1.2,1.2,0,0,1759,7.22,1.88,0.834,0.834
Pakistan,2014,2095.897149,-2.401279211,30.2607899,66.117,4770.644237,19.7,13,18,18.6,12.2,8.7,4.1,2.3,0.5,2.6,0,0,1200,7.34,2.16,0.815,0.815
Peru,2014,-634.107723,-0.550656915,97.6459503,75.258,11510.27888,27,7.7,15,15.2,13.8,13.3,3,1.6,0.3,1.6,0.8,0.9,1190,7.45,2.15,0.787,0.786213786
Poland,2014,3582.441222,0.842940807,105.353569,77,25475.50469,9.9,7.4,22,16.7,12.4,18.3,3.9,2.9,1.4,3.3,1.6,0,951,6.67,2.15,0.684,0.695121951
Romania,2014,3170.078109,0.049136128,96.0302277,75.0634146,20657.67329,35.6,12,16,10.5,8.6,8.6,2.7,1.6,0.9,2.5,1.1,0.2,1484,7.88,2.28,0.827,0.834510595
Russia,2014,4245.15669,-0.943617463,96.8499985,70.5787805,25761.64844,7.4,4.3,14,14.4,14.3,20.2,7.2,7.2,3.4,3.6,4.1,0.2,2388,5.95,2.25,0.544,0.566077003
Rwanda,2014,-133.879182,-0.313469648,42.2042198,66.219,1706.753166,2,11,24,27.4,20.1,8.4,5,1.3,0.5,1,0,0,1527,6.85,1.58,0.845,0.845
Slovenia,2014,3184.435629,0.965773404,111.364799,80.3219512,30870.02367,25.3,18,23,12.7,7.6,8.8,1.6,2,0.6,0.9,0.2,0.3,1064,7.88,1.95,0.866,0.865134865
Zimbabwe,2014,-1312.065222,-0.713570178,51.3457413,56.897,2612.455954,10.3,7.5,16,16.7,17.2,14.7,8,3.3,1,5,0,0,1499,6.43,2.27,0.677,0.677
Spain,2014,2791.993023,0.243121743,123.358856,83.0780488,33525.74063,12.8,7.4,16,21.7,16.3,15.3,3.1,2.6,0.6,0.8,3.2,0.3,1146,6.95,1.91,0.742,0.764160659
Sweden,2014,4148.843109,1.065414786,136.870285,81.9560976,47184.66913,20.4,11,25,19.3,9.5,9.3,2.6,1.7,0.4,0.3,0.6,0,1199,7.62,1.83,0.852,0.857142857
