Country,Year,Miles_Equator,Political_Stability,School_Enrollment_F,Life_Expency,GDP_Per_Capita,None at all,2,3,4,5,6,7,8,9,A great deal,Don't know,No answer,Base mean,Freedom_Mean,Std Dev.,,Freedom
India,2006,1420.964196,-1.065184236,50.2382011,64.918,3911.434281,23.8,0,0,35,0,0,24.2,0,0,3.7,13.2,0.1,1734,6.73,2.54,0.588,0.676639816
Indonesia,2006,-54.459975,-1.417666912,62.8922806,67.717,8019.730683,23.1,9.8,16,13.9,9.4,13.4,2.3,1.3,0.3,3.2,3.9,3.1,1861,7.39,2.27,0.722,0.727822581
Iran,2006,2237.525652,-1.04084003,77.2405396,72.257,17712.53848,15.3,12,18,15.8,13.6,14.9,3.8,2.6,1.8,1.3,0,0.3,2658,7.06,2.12,0.747,0.744765703
Italy,2006,2889.16386,0.530733764,99.5777206,81.2829268,34602.89696,5.7,7,16,20.1,18.1,13.3,6.7,4.8,3.4,1.9,1.4,1.2,986,6.34,2.06,0.669,0.670340681
Jordan,2006,2110.376316,-0.762317538,86.8548965,72.763,9625.63906,35.2,11,14,9.7,7.9,9.2,3.9,1.2,1.4,4.9,0,1.4,1183,7.64,2.56,0.778,0.767258383
Korea,2006,2477.635233,0.423855454,96.3186722,78.6682927,29508.38151,7.1,9.9,24,19.8,11.4,12.3,7.8,3.8,2.1,1.9,0,0,1200,6.68,2.08,0.722,0.722
Malaysia,2006,290.523396,0.288379699,83.2793579,73.744,19188.36498,11.4,10,26,25.1,15.2,8.2,1.5,0.9,0.3,1.3,0,0,1201,7.31,1.71,0.877,0.877
Mali,2006,1212.377748,0.414196908,21.0428696,52.839,1730.833043,16.3,4.7,9,11.1,10.2,22.8,4.9,2.7,2,9.6,2.5,3.6,1433,6.12,2.72,0.513,0.507418398
Mexico,2006,1630.780569,-0.636888444,86.2486801,75.296,14547.64458,40.5,16,19,7.4,3.3,5.2,1,0.9,0.4,2.7,1.8,1.8,1504,8.38,2.08,0.862,0.862
Morocco,2006,2193.627438,-0.461343467,49.2116394,72.403,6105.844238,4.2,5.7,9.2,12.8,12,20.1,12.8,8.3,4.3,9.3,0,1.2,1185,5.3,2.4,0.439,0.433794466
